USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    May09   0:01 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [rcu_par_gp]
root           6  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/0:0H-kblockd]
root           9  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [mm_percpu_wq]
root          10  0.0  0.0      0     0 ?        S    May09   1:43  \_ [ksoftirqd/0]
root          11  0.1  0.0      0     0 ?        I    May09 130:20  \_ [rcu_sched]
root          12  0.0  0.0      0     0 ?        S    May09   0:17  \_ [migration/0]
root          13  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/0]
root          14  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/0]
root          15  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/1]
root          16  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/1]
root          17  0.0  0.0      0     0 ?        S    May09   0:13  \_ [migration/1]
root          18  0.0  0.0      0     0 ?        S    May09   3:31  \_ [ksoftirqd/1]
root          20  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/1:0H-events_highpri]
root          21  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/2]
root          22  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/2]
root          23  0.0  0.0      0     0 ?        S    May09   0:16  \_ [migration/2]
root          24  0.0  0.0      0     0 ?        S    May09   1:33  \_ [ksoftirqd/2]
root          26  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/2:0H-kblockd]
root          27  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/3]
root          28  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/3]
root          29  0.0  0.0      0     0 ?        S    May09   0:15  \_ [migration/3]
root          30  0.0  0.0      0     0 ?        S    May09   1:10  \_ [ksoftirqd/3]
root          32  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/3:0H-events_highpri]
root          33  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/4]
root          34  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/4]
root          35  0.0  0.0      0     0 ?        S    May09   0:15  \_ [migration/4]
root          36  0.0  0.0      0     0 ?        S    May09   0:57  \_ [ksoftirqd/4]
root          38  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/4:0H-kblockd]
root          39  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/5]
root          40  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/5]
root          41  0.0  0.0      0     0 ?        S    May09   0:15  \_ [migration/5]
root          42  0.0  0.0      0     0 ?        S    May09   0:48  \_ [ksoftirqd/5]
root          44  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/5:0H-kblockd]
root          45  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/6]
root          46  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/6]
root          47  0.0  0.0      0     0 ?        S    May09   0:15  \_ [migration/6]
root          48  0.0  0.0      0     0 ?        S    May09   0:51  \_ [ksoftirqd/6]
root          50  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/6:0H]
root          51  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/7]
root          52  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/7]
root          53  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/7]
root          54  0.0  0.0      0     0 ?        S    May09   0:44  \_ [ksoftirqd/7]
root          56  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/7:0H-events_highpri]
root          57  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/8]
root          58  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/8]
root          59  0.0  0.0      0     0 ?        S    May09   0:15  \_ [migration/8]
root          60  0.0  0.0      0     0 ?        S    May09   0:54  \_ [ksoftirqd/8]
root          62  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/8:0H-events_highpri]
root          63  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/9]
root          64  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/9]
root          65  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/9]
root          66  0.0  0.0      0     0 ?        S    May09   1:10  \_ [ksoftirqd/9]
root          68  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/9:0H-kblockd]
root          69  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/10]
root          70  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/10]
root          71  0.0  0.0      0     0 ?        S    May09   0:15  \_ [migration/10]
root          72  0.0  0.0      0     0 ?        S    May09   1:13  \_ [ksoftirqd/10]
root          74  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/10:0H-kblockd]
root          75  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/11]
root          76  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/11]
root          77  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/11]
root          78  0.0  0.0      0     0 ?        S    May09   0:54  \_ [ksoftirqd/11]
root          80  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/11:0H-kblockd]
root          81  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/12]
root          82  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/12]
root          83  0.0  0.0      0     0 ?        S    May09   0:14  \_ [migration/12]
root          84  0.0  0.0      0     0 ?        S    May09   0:55  \_ [ksoftirqd/12]
root          86  0.0  0.0      0     0 ?        I<   May09   0:00  \_ [kworker/12:0H-kblockd]
root          87  0.0  0.0      0     0 ?        S    May09   0:00  \_ [cpuhp/13]
root          88  0.0  0.0      0     0 ?        S    May09   0:00  \_ [idle_inject/13]
